symbol,error,name,sector,market_cap_cr,current_price,high_52w,low_52w,pe_ratio,book_value,dividend_yield,roce,roe,face_value,price_to_book,promoter_holding,fii_holding,dii_holding,government_holding,public_holding,sales_growth_5y,sales_growth_3y,sales_growth_ttm,profit_growth_5y,profit_growth_3y,profit_growth_ttm,price_cagr_5y,price_cagr_3y,operating_margin,roce_latest,price_cagr_10y,roe_latest,sales_growth_10y,profit_growth_10y,passed_filters,quality_score,growth_score,health_score,promoter_score,valuation_score,composite_score,multibagger_score,rationale
HONASA,,Honasa Consumer Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,15615.0,479.0,491.0,248.0,61.8,43.4,0.0,19.2,15.7,10.0,11.04,35.47,13.64,21.58,,29.3,39.0,17.0,21.0,17.0,118.0,242.0,,,12.0,19.0,,,,,True,-0.6900147531470884,1.266049132904657,0.0,-0.6776603589102262,-1.197041283965891,-0.1751477815963181,5.8,"Solid growth (5y sales 39%, 5y profit 17%); healthy balance sheet. Valuation looks stretched."
JKTYRE,,JK Tyre & Industries Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,11050.0,384.0,612.0,311.0,15.4,210.0,1.04,15.5,16.0,2.0,1.83,51.72,15.75,7.26,0.0,25.27,12.0,4.0,10.0,24.0,44.0,56.0,19.0,13.0,12.0,16.0,14.0,,9.0,6.0,True,-0.8117978069414736,-0.19308951153643703,0.0,-0.1626004509452508,1.2918221038834288,-0.17736510164317426,5.7,"Reasonable valuation (P/E 15, P/B 1.8); healthy balance sheet. Profitability is the softer spot."
KAJARIACER,,Kajaria Ceramics Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,19809.0,1261.0,1310.0,870.0,34.4,192.0,0.63,23.3,17.9,1.0,6.57,47.69,11.58,26.24,0.0,14.48,12.0,3.0,9.0,11.0,14.0,64.0,4.0,-5.0,19.0,23.0,7.0,,7.0,8.0,True,-0.18789385442562312,-0.4999166805532412,0.0,-0.29033530812056474,0.1458104526594121,-0.1853207433904787,5.6,"Reasonable valuation (P/E 34, P/B 6.6); healthy balance sheet. Growth is modest — more of a compounder."
BIKAJI,,Bikaji Foods International Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,15451.0,617.0,821.0,592.0,59.1,64.1,0.2,19.8,17.5,1.0,9.63,73.88,4.61,17.51,,4.01,18.0,15.0,14.0,24.0,24.0,29.0,,8.0,13.0,20.0,,,,,True,-0.534239506315589,-0.15054810088971068,0.0,0.5397827835472941,-0.9377386092917323,-0.20318791546969794,5.5,Strong promoter alignment (promoter 74%); healthy balance sheet. Valuation looks stretched.
BLUEDART,,Blue Dart Express Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,12111.0,5101.0,7036.0,4628.0,37.4,749.0,0.49,16.6,16.8,10.0,6.81,75.0,3.35,14.47,,7.17,13.0,6.0,9.0,19.0,-8.0,31.0,-2.0,-7.0,16.0,17.0,-1.0,,9.0,4.0,True,-0.5971384461874142,-0.7518588171812635,0.0,0.5752822972039572,0.03144868183808211,-0.2400760845280751,5.4,"Strong promoter alignment (promoter 75%); reasonable valuation (P/E 37, P/B 6.8). Growth is modest — more of a compounder."
USHAMART,,Usha Martin Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,15140.0,497.0,528.0,341.0,27.8,108.0,0.75,19.5,15.1,1.0,4.6,40.28,15.1,15.26,,29.24,12.0,4.0,9.0,25.0,9.0,35.0,47.0,15.0,20.0,19.0,42.0,,-1.0,12.0,True,-0.45554891770998623,-0.6054987308111789,0.0,-0.5252026261525935,0.586263761119785,-0.2779184392861421,5.3,"Reasonable valuation (P/E 28, P/B 4.6); healthy balance sheet. Growth is modest — more of a compounder."
ELGIEQUIP,,Elgi Equipments Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,18270.0,577.0,634.0,408.0,39.4,70.4,0.47,22.1,19.0,1.0,8.2,31.19,21.9,10.12,,36.3,15.0,9.0,16.0,31.0,11.0,28.0,23.0,6.0,15.0,22.0,21.0,,11.0,22.0,True,-0.2995060158152025,-0.3220362743775509,0.0,-0.8133192146696167,-0.20588446650679398,-0.2968453884711928,5.2,"Healthy balance sheet; reasonable valuation (P/E 39, P/B 8.2). Promoter signal is average (moderate holding or some pledge)."
KPRMILL,,K P R Mill Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,37070.0,1085.0,1334.0,796.0,40.6,167.0,0.46,19.6,15.7,1.0,6.5,67.52,7.02,19.25,0.01,6.19,14.0,2.0,4.0,10.0,2.0,11.0,25.0,18.0,20.0,20.0,25.0,,10.0,15.0,True,-0.41807720885017535,-1.0302515718279759,0.0,0.3381962595683868,-0.016408708035332925,-0.2823849088889231,5.2,Strong promoter alignment (promoter 68%); healthy balance sheet. Growth is modest — more of a compounder.
MEDANTA,,Global Health Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,37882.0,1410.0,1491.0,955.0,66.2,147.0,0.04,17.1,15.2,2.0,9.59,33.0,9.46,16.89,,40.55,25.0,18.0,21.0,81.0,20.0,0.0,,28.0,21.0,17.0,,,12.0,13.0,True,-0.5077416550504371,0.34716436149530655,0.0,-0.7559494649209025,-1.1287655998934554,-0.30915860394355077,5.1,"Solid growth (5y sales 25%, 5y profit 81%); healthy balance sheet. Valuation looks stretched."
TATATECH,,Tata Technologies Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,35318.0,868.0,891.0,507.0,54.3,96.6,0.96,20.9,16.3,2.0,8.99,55.17,6.3,4.48,,34.04,18.0,8.0,15.0,21.0,-1.0,-5.0,,,16.0,21.0,,,,,True,-0.46411387973508583,-0.697635050242949,0.0,-0.05324927048499438,-0.7212316916230392,-0.35887173370416864,5.0,Healthy balance sheet; strong promoter alignment (promoter 55%). Valuation looks stretched.
